"amostra";"largura";"altura";"temperatura"
"Amostra 1";75.33;41.3;-2.28
"Amostra 2";201.44;83.54;-0.76
"Amostra 3";35.51;89.98;2.35
"Amostra 4";202.82;8.85;2.93
"Amostra 5";221.69;62.67;-23.18
"Amostra 6";75.84;3.82;-13.07
"Amostra 7";130.62;68.37;-10.46
"Amostra 8";80.25;187.19;-15.91
"Amostra 9";179.22;77.75;15.35
"Amostra 10";4.2;79.11;-3.06
"Amostra 11";215;146.63;6.51
"Amostra 12";177.02;72.26;3.78
"Amostra 13";86.47;147.86;-3.53
"Amostra 14";172.02;0.93;2.7
"Amostra 15";13.41;52.4;-4.44
"Amostra 16";7.58;39.97;-16.36
"Amostra 17";85.83;51;-12.78
"Amostra 18";34.49;29.84;3.9
"Amostra 19";58.25;78.27;9.86
"Amostra 20";78.62;2.22;-3.63
"Amostra 21";69.21;327.39;-5.94
"Amostra 22";118.3;16.66;-10.42
"Amostra 23";126.89;19.69;4.03
"Amostra 24";31.26;116.95;-10.92
"Amostra 25";3.06;261.65;-17.39
"Amostra 26";148.23;137.26;-9.52
"Amostra 27";112.66;8.15;1.07
"Amostra 28";176.38;10.82;-18.42
"Amostra 29";106.26;31.93;15.62
"Amostra 30";134.3;143.32;-3.98
"Amostra 31";75.5;88.76;4.05
"Amostra 32";64.15;218.11;0.73
"Amostra 33";143.11;35.02;8.43
"Amostra 34";62.46;188.2;-3.34
"Amostra 35";22.9;82.18;-10.36
"Amostra 36";26.32;164.31;0.64
"Amostra 37";42.92;174.71;21
"Amostra 38";148.42;62.39;-3.69
"Amostra 39";18;180.7;-4.55
"Amostra 40";206.11;31.22;-1.38
"Amostra 41";72.56;121.24;18.47
"Amostra 42";48.87;46.15;-4.25
"Amostra 43";48.41;149.59;-6.01
"Amostra 44";184.56;74.19;7.39
"Amostra 45";51.54;149.67;-11.75
"Amostra 46";111.48;22.13;-5.8
"Amostra 47";31.01;18.54;2.16
"Amostra 48";9.14;23.12;-6.66
"Amostra 49";64.43;40.99;-2.11
"Amostra 50";37.48;4.59;10.03
